,text,text_clean
4728,"Mudah banget yg komen nyalahin pemerintah, batubara dicari karna buat listrik, ntar klo gada listrik kalian protes. Intinya koreksi diri sendiri, pake listriknya boros gak coba",mudah banget yg komen nyalahin pemerintah batubara dicari karna buat listrik ntar klo gada listrik kalian protes intinya koreksi diri sendiri pake listriknya boros gak coba
4729,itu gubernur kaltim setan dari golongan apa ya dia? kalau anak dan cucunya yg modar dikubangan itu apa yg dia rasa..jawabannya ga beradab sama sekali..,itu gubernur kaltim setan dari golongan apa ya dia kalau anak dan cucunya yg modar dikubangan itu apa yg dia rasajawabannya ga beradab sama sekali
4730,ibarat penetration test di dunia hacking ini :D... antara dua kemungkinan.. bakal di komersilkan ke pihak yg bersangkutan atau bakal dicari :D,ibarat penetration test di dunia hacking ini d antara dua kemungkinan bakal di komersilkan ke pihak yg bersangkutan atau bakal dicari d
4731,Film edukatif dan Ã¢â‚¬Å“membuka mataÃ¢â‚¬Â Ã°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜Â,film edukatif dan membuka mata
4732,"Trimakasih Watchdoc Image, telah menyajikan Sexy Killers buat kita, ditengah banyaknya media pers yang jelas melanggar ideologi pers. Trimakasih",trimakasih watchdoc image telah menyajikan sexy killers buat kita ditengah banyaknya media pers yang jelas melanggar ideologi pers trimakasih
4733,"Untuk Masalah Air, Seharusnya 
  Nonton Juga Di menit 10.28 Sampai 10.40
  
  Seharusnya Masyarakat Meminta CSR Perusahaan Untuk Membuat Pompa Untuk Mengalirkan Air Genangan Dari Galian AGAR WARGA SEKITAR TIDAK LAGI KEKURANGAN AIR DAN MEMBUATKAN INSTALASI PENYARINGAN AGAR AIR YANG DIALIRKAN KERUMAH RUMAH WARGA SUDAH BERSIH serta MENUTUP BEKAS GALIAN DENGAN PAGAR AGAR TIDAK ADA LAGI KORBAN TENGGELAM",untuk masalah air seharusnya nonton juga di menit sampai seharusnya masyarakat meminta csr perusahaan untuk membuat pompa untuk mengalirkan air genangan dari galian agar warga sekitar tidak lagi kekurangan air dan membuatkan instalasi penyaringan agar air yang dialirkan kerumah rumah warga sudah bersih serta menutup bekas galian dengan pagar agar tidak ada lagi korban tenggelam
4734,"Semoga talksow tv mampu mengangkat acara ini,,",semoga talksow tv mampu mengangkat acara ini
4735,Wallahi pemerintah sangat zhalim dengan rakyat,wallahi pemerintah sangat zhalim dengan rakyat
4736,Apapun itu.. jgn semuanya di serap 100%.. karna yg ditayangkan itu tergantung maunya si pembuat film bagaimana suatu film itu mau dijadikan konteks seperti apa.. semua yg ada di youtube.. tidak boleh ditelan bulan bulan 100%..,apapun itu jgn semuanya di serap karna yg ditayangkan itu tergantung maunya si pembuat film bagaimana suatu film itu mau dijadikan konteks seperti apa semua yg ada di youtube tidak boleh ditelan bulan bulan
4737,"Astaghfirullah, tanggapan bapak Gubernur kok seperti itu, masih bisa tertawa. Ya AllahÃ°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­
  Ini harus di tayangkan baik di tv nasional, layar lebar, dan mendapatkan award.",astaghfirullah tanggapan bapak gubernur kok seperti itu masih bisa tertawa ya allah ini harus di tayangkan baik di tv nasional layar lebar dan mendapatkan award
4738,"tw gitu dlu gua masuk hukum biar bisa jdi lawyer amanah, sedih nonton bginian :(",tw gitu dlu gua masuk hukum biar bisa jdi lawyer amanah sedih nonton bginian
4739,"mereka kaum muda yang sadar lingkungan selayaknya lebih cerdas lagi untuk menemukan listrik yang ramah lingkungan..... air dimana mana bisa dibuat mikro hidro,angin dan matahari di maksimalkan sebagai energi ,juga upayakan bikin bahanbakar dari limbah......sampah seharusnya di upayakan untuk energi.... negara mesti maju dan bersaing dengan negara lain didunia..... tapi bukan berarti kita harus selalu mencari kesalahan.....mencari solusi terbaik untuk kemajuan bangsa adalah upaya cerdas bangsa ini kedepan..... jadilah bangsa yang cerdas untuk selalu berinovasi dan belajar lebih dari pengalaman hari ini.......",mereka kaum muda yang sadar lingkungan selayaknya lebih cerdas lagi untuk menemukan listrik yang ramah lingkungan air dimana mana bisa dibuat mikro hidroangin dan matahari di maksimalkan sebagai energi juga upayakan bikin bahanbakar dari limbahsampah seharusnya di upayakan untuk energi negara mesti maju dan bersaing dengan negara lain didunia tapi bukan berarti kita harus selalu mencari kesalahanmencari solusi terbaik untuk kemajuan bangsa adalah upaya cerdas bangsa ini kedepan jadilah bangsa yang cerdas untuk selalu berinovasi dan belajar lebih dari pengalaman hari ini
4740,Yang begini kok gamasuk trending ya haha,yang begini kok gamasuk trending ya haha
4741,"1:15:07 ""Djamal Attamimi"" apakah juga berhubungan dengan Attamimi Halilintar?",djamal attamimi apakah juga berhubungan dengan attamimi halilintar
4742,"Kita harus membayar mahal u/ semua fasilitas yg telah kita nikmati saat ini Ã°Å¸Ëœâ€
  Apa baiknya kita kembali ke zaman nenek3 kita, yg hanya menggunakan lentera sebagai penerangan di wkt mlm y Ã°Å¸Â¤Â­
  Dan membuat rmh dgn bnyk jendela / kaca dgn tujuan penerangan Ã°Å¸Â¤â€
  HEMAT ENEGI SELAMATKAN MEREKA, KITA & BUMI Ã°Å¸â€˜ÂÃ°Å¸ÂÂ»Ã°Å¸â€˜ÂÃ°Å¸ÂÂ»Ã°Å¸â€˜ÂÃ°Å¸ÂÂ»",kita harus membayar mahal u semua fasilitas yg telah kita nikmati saat ini apa baiknya kita kembali ke zaman nenek kita yg hanya menggunakan lentera sebagai penerangan di wkt mlm y dan membuat rmh dgn bnyk jendela kaca dgn tujuan penerangan hemat enegi selamatkan mereka kita bumi
4743,Bagus bangt....semoga video ini g di hapus....,bagus bangtsemoga video ini g di hapus
4744,"nonton ini sambil baca komen mana nihh jempol nya Ã°Å¸Ëœâ€šÃ¢ËœÂº 
  
  film nya buat hati terenyuh Ã°Å¸Ëœâ€˜",nonton ini sambil baca komen mana nihh jempol nya film nya buat hati terenyuh
4745,Cakep... 100 jempol utk seluruh kru,cakep jempol utk seluruh kru
4746,"Kereeeeen paraaah,petjaaaah bgt ini film nya .. sukses terus.. Ã°Å¸ËœÅ½Ã°Å¸ËœÅ½",kereeeeen paraaahpetjaaaah bgt ini film nya sukses terus
4747,"Ditempat kami (Jambi)kendaraan Batu bara menjadi Pembunuh berdarah dingin,karena todak tegasnya Aturan Lalu lintas,Yang Sering Dilanggar untuk jam operasinya,Izin Batu bara juga Di dekengin Orang Penting,,,Mana like nyaÃ°Å¸â€˜Â",ditempat kami jambikendaraan batu bara menjadi pembunuh berdarah dinginkarena todak tegasnya aturan lalu lintasyang sering dilanggar untuk jam operasinyaizin batu bara juga di dekengin orang pentingmana like nya
4748,Jaman pak Harto pemerataan penduduk..eh sekarang pemerataan lahan rata jadi tambang..,jaman pak harto pemerataan pendudukeh sekarang pemerataan lahan rata jadi tambang
4749,Setiap hari semakin dirusak tanah kami dikalimantan,setiap hari semakin dirusak tanah kami dikalimantan
4750,Masak jualan martabak sama pisang omsetnya jutaan kan g masuk di akal,masak jualan martabak sama pisang omsetnya jutaan kan g masuk di akal
4751,Sedih banget liatnya...Ã°Å¸ËœÂ¥Ã°Å¸ËœÂ¥,sedih banget liatnya
4752,Tanpa listrik bisa apa kalian . Saling menyadari peace,tanpa listrik bisa apa kalian saling menyadari peace
4753,Harusnya diramein sexy killer boleh di download dan boleh di upload oleh siapa saja ..biar viral sepenuhnya,harusnya diramein sexy killer boleh di download dan boleh di upload oleh siapa saja biar viral sepenuhnya
4754,"Muter2 aja disitu orang2 yg berkuasa. Ikut prihatin sm warga yg kena dampak langsung dari pltu, mau lahan-rumah sampe kesehatannya. Dibikin buka mata bgt liat video ini.",muter aja disitu orang yg berkuasa ikut prihatin sm warga yg kena dampak langsung dari pltu mau lahanrumah sampe kesehatannya dibikin buka mata bgt liat video ini
4755,"semua ada kepentingan termasuk saya pun ada kepentingan dalam urusan pertambangan, semua kembali kepada sifat manusia.. apapun yg kita lakukan harus dipertanggungjawabkan kalau tidak, alam akan membalasnya... semua akibat manusia",semua ada kepentingan termasuk saya pun ada kepentingan dalam urusan pertambangan semua kembali kepada sifat manusia apapun yg kita lakukan harus dipertanggungjawabkan kalau tidak alam akan membalasnya semua akibat manusia
4756,Terimakasih watchdoc Ã°Å¸Ëœâ€Ã°Å¸Ëœâ€sy smakin kecewa menjadi warga negara indonesia,terimakasih watchdoc sy smakin kecewa menjadi warga negara indonesia
4757,"DENGERIN !!!
  Dari menit 43.07 - 43.20
  Dan Menit 1.05.59 - 1.12.54
  
  Dan Simpulkan",dengerin dari menit dan menit dan simpulkan
4758,"Salah satu alasan Batu bara dipilih sebagai bahan utk pembangkit listrik karena murah dari pada pembangkit model lain. Kalo pake yg mahal tentu biaya listrik yg sampe kekonsumen bisa jadi mahal juga, abis itu konsumen protes dsb, Demo sana sini, mengeluh dimana mana. Intinya sih kalo menurut ku utk buat perubahan dimulai dari diri sendiri. Jgn hanya berkata ""sedih melihat video ini"".",salah satu alasan batu bara dipilih sebagai bahan utk pembangkit listrik karena murah dari pada pembangkit model lain kalo pake yg mahal tentu biaya listrik yg sampe kekonsumen bisa jadi mahal juga abis itu konsumen protes dsb demo sana sini mengeluh dimana mana intinya sih kalo menurut ku utk buat perubahan dimulai dari diri sendiri jgn hanya berkata sedih melihat video ini
4759,Dr ke 4 capres cawapres yg tdk punya bisnis batu bara cuma kyai ma'ruf amin dong...Ã°Å¸ËœÂ,dr ke capres cawapres yg tdk punya bisnis batu bara cuma kyai maruf amin dong
4760,"sesungguhnya kemajuan teknologi akan mengorbankan SDA,,",sesungguhnya kemajuan teknologi akan mengorbankan sda
4761,"Inilah sedikit gambaran monster di dunia, melakukan segala cara demi ambisi menguntungkan individu dengan mengkanibali segelintir manusia dan menodai hujau dan birunya warna alam tapi berkedok mensejahterakan umat manusia !!!",inilah sedikit gambaran monster di dunia melakukan segala cara demi ambisi menguntungkan individu dengan mengkanibali segelintir manusia dan menodai hujau dan birunya warna alam tapi berkedok mensejahterakan umat manusia
4762,kak kok ada age-restricted nya? waktu itu ga ada deh,kak kok ada agerestricted nya waktu itu ga ada deh
4763,Bgmna kalau di bioskop,bgmna kalau di bioskop
4764,Heran gw sama negara ini ..,heran gw sama negara ini
4765,.ya allah ...Ã°Å¸ËœÂ¢,ya allah
4766,"Semoga prabowo sandi merubah keadaan ini.. 
  Inshaallah 02 lebih baik.. 
  Doakan, semoga menang di Pilpres 2019 ini.. aamiin..Ã¢ËœÂº
  Yg like semoga selalu dilimpahkan rezekinya, aamiin..Ã°Å¸â„¢Â",semoga prabowo sandi merubah keadaan ini inshaallah lebih baik doakan semoga menang di pilpres ini aamiin yg like semoga selalu dilimpahkan rezekinya aamiin
4767,"Jadi kesimpulannya, elite politics ini kejam bgt yaÃ°Å¸ËœÂ­Ã°Å¸ËœÂ­",jadi kesimpulannya elite politics ini kejam bgt ya
4768,"ya gak pp wong cuma demo ini kok..
  Astagfirulloh pak keluh kesah rakyat kok disepeleke Ã°Å¸ËœÂ«Ã°Å¸ËœÂ«",ya gak pp wong cuma demo ini kok astagfirulloh pak keluh kesah rakyat kok disepeleke
4769,Lo berani di ungkap pengal kepala ku. Aku di sumbawa.,lo berani di ungkap pengal kepala ku aku di sumbawa
4770,rame begini kok nggak masuk tranding ya? #benerantanya,rame begini kok nggak masuk tranding ya benerantanya
4771,Semoga kdpan.a bisa lbih baik pemerintahan indonesia Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢,semoga kdpana bisa lbih baik pemerintahan indonesia
4772,Hancur negara ini..rakyat sengsara.merusak alam pasti ada balasannya dari sang maha pencipta allah swt.,hancur negara inirakyat sengsaramerusak alam pasti ada balasannya dari sang maha pencipta allah swt
4773,Batubara....emas hitam.,batubaraemas hitam
4774,"Gak mungkin sih di tayangkan di TV nasional, soalnya yang punya TV nasional juga kan elit2 politik juga -____- , indonesia",gak mungkin sih di tayangkan di tv nasional soalnya yang punya tv nasional juga kan elit politik juga indonesia
4775,Allahuma Mbuh...,allahuma mbuh
4776,"Pk jkw bilang ""ya ga papa, wong cuma demo"" .. Haha pngen ketawa, masih ada yaa orng kaya gini yaa allah, dimana hati nuranimu pak, lihat kami rakyat kecil,, apa yang bapa2 lakukan akan dipertanggung jawabkan, sekecil apapun .. Emut gusti Allah ndak tidur..",pk jkw bilang ya ga papa wong cuma demo haha pngen ketawa masih ada yaa orng kaya gini yaa allah dimana hati nuranimu pak lihat kami rakyat kecil apa yang bapa lakukan akan dipertanggung jawabkan sekecil apapun emut gusti allah ndak tidur
4777,"Up sampai ditayangkan di Televisi,biar satu Nusantara tau begini Lo pemerintahan Indonesia sekarang,kalau perlu sampai dibahas ke Mata Nadjwa.",up sampai ditayangkan di televisibiar satu nusantara tau begini lo pemerintahan indonesia sekarangkalau perlu sampai dibahas ke mata nadjwa
4778,Miris juga ngeliat asli nya siapa di balik smua itu. Rakyat kecil hanya jadi tumbal. Semoga di akhirat pengadilan yg paling adil.,miris juga ngeliat asli nya siapa di balik smua itu rakyat kecil hanya jadi tumbal semoga di akhirat pengadilan yg paling adil
4779,Ya allah kenapa masih ada yg disslikeÃ°Å¸ËœÂ¢Ã°Å¸ËœÂ¢,ya allah kenapa masih ada yg disslike
4780,oh berarti pemilik pt adaro sebelum pilpres itu pk sandiaga uno toh,oh berarti pemilik pt adaro sebelum pilpres itu pk sandiaga uno toh
4781,"Pantesan Indonesia gak pernah punya pembangkit Listrik Tenaga Nuklir kaya Jepang, Pengusaha Tambang Batubara akan bangkrut karena penghasilan dari PLTU mereka Sendiri.",pantesan indonesia gak pernah punya pembangkit listrik tenaga nuklir kaya jepang pengusaha tambang batubara akan bangkrut karena penghasilan dari pltu mereka sendiri
4782,"Salut dengan tayangan ini.... 
  Terlepas dr hubungan politik yg mengukuti video ini, anak2 muda, milenial, mngkn harusnya jg tergerak hatinya untuk berinovasi akan energi terbarukan.... 
  Semoga anak2 muda Indonesia, belajar lebih baik lagi untuk berani membuat pembangkit listrik ramah lingkungan dan mengembangkan nya....",salut dengan tayangan ini terlepas dr hubungan politik yg mengukuti video ini anak muda milenial mngkn harusnya jg tergerak hatinya untuk berinovasi akan energi terbarukan semoga anak muda indonesia belajar lebih baik lagi untuk berani membuat pembangkit listrik ramah lingkungan dan mengembangkan nya
4783,#miris #kaulucutitanahpertiwi,miris kaulucutitanahpertiwi
4784,"Ya AllahÃ°Å¸ËœÂ¢Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢... Untung saya nonton setelah pilpres, kalo ga... Asli pasti golput!! Semoga Pak Prabowo dan Bang Sandi nonton, agar mata hati... Pintu hati mereka terbuka terhadap korban2... Jayalah Indonesiaku.... Ya Allah berilah kami pemimpin yg adil",ya allah untung saya nonton setelah pilpres kalo ga asli pasti golput semoga pak prabowo dan bang sandi nonton agar mata hati pintu hati mereka terbuka terhadap korban jayalah indonesiaku ya allah berilah kami pemimpin yg adil
4785,"Saya merasa diri saya sangat berdosa yg dengan enaknya di Jakarta memakai Listrik dengan mudah.. 
  Selama ini saya hanya mendengar sedikit sekali kepedihan mereka, setelah nonton video ini, saya merasa berdosa banget dengan mereka yg kena GETAHNYA dari PLTU dan bisnis"" lainnya.. 
  
  Ya Allah Ampuni kami.. 
  Semoga Indonesia bisa berubah kedepannya, meski pasti bakal butuh waktu lama dan tidak Semudah itu... 
  
  Maafkan kami yg telah memakai listrik seenaknya, dan kalian yg kena getahnya.. Ã°Å¸ËœÂ¥Ã°Å¸ËœÂ¥Ã°Å¸ËœÂ¥
  
  Tapi apalah daya, listrik pun penting untuk manusia, tapi semoga ada solusi lain untuk menghasilkan Listrik..",saya merasa diri saya sangat berdosa yg dengan enaknya di jakarta memakai listrik dengan mudah selama ini saya hanya mendengar sedikit sekali kepedihan mereka setelah nonton video ini saya merasa berdosa banget dengan mereka yg kena getahnya dari pltu dan bisnis lainnya ya allah ampuni kami semoga indonesia bisa berubah kedepannya meski pasti bakal butuh waktu lama dan tidak semudah itu maafkan kami yg telah memakai listrik seenaknya dan kalian yg kena getahnya tapi apalah daya listrik pun penting untuk manusia tapi semoga ada solusi lain untuk menghasilkan listrik
4786,"Ya Allah ya Tuhanku, selamatkan dan tolonglah aku selama aku hidup di bumi Indonesia ini... Amin",ya allah ya tuhanku selamatkan dan tolonglah aku selama aku hidup di bumi indonesia ini amin
4787,"Kira"" pak jokowi dan pak prabowo nonton gak ya....",kira pak jokowi dan pak prabowo nonton gak ya
4788,Semoga pemerintah melihat ini tp kayaknya percuma soalnya jg ada yg ikut terlibat,semoga pemerintah melihat ini tp kayaknya percuma soalnya jg ada yg ikut terlibat
4789,Semoga semua selesai dengan baik...,semoga semua selesai dengan baik
4790,bersihkan dari kubangan maut batu bara minta tolong jokowi...bisa dijitak luhut...,bersihkan dari kubangan maut batu bara minta tolong jokowibisa dijitak luhut
4791,"Korban anak2 meninggal kau tertawakan pak? Semoga sakaratul maut kau susah pak, biar masyarakat kau bisa liat sambil tertawa",korban anak meninggal kau tertawakan pak semoga sakaratul maut kau susah pak biar masyarakat kau bisa liat sambil tertawa
4792,oo keluarga luhut lobangin 50 tanah kaimantan..shit,oo keluarga luhut lobangin tanah kaimantanshit
4793,Salahnya jokowi jokowi salah .. jokowi dari lahir udah salahhh,salahnya jokowi jokowi salah jokowi dari lahir udah salahhh
4794,"ayo *ILC* bahas masalah ini, undang pakar pakar lurus tidak perlu panggil yg jahat.
  undang juga mb *Najwa Sihab juga mas Dedy Corbuzer*
  
  undang pakar pakar lingkukan dr universitas minimal *UGM, ITB*
  
  ayo benahi Indonesia ILC, rakyat mendukung.",ayo ilc bahas masalah ini undang pakar pakar lurus tidak perlu panggil yg jahat undang juga mb najwa sihab juga mas dedy corbuzer undang pakar pakar lingkukan dr universitas minimal ugm itb ayo benahi indonesia ilc rakyat mendukung
4795,sangat membuka mata Ã°Å¸â€˜ÂÃ°Å¸â€˜ÂÃ°Å¸â€˜Â,sangat membuka mata
4796,"sangat meng inspirasi, tetap semangat untuk menebarkan kebenaran.",sangat meng inspirasi tetap semangat untuk menebarkan kebenaran
4797,Bikin saja kolam cebong ..biar pada mampus di kolam itu semua,bikin saja kolam cebong biar pada mampus di kolam itu semua
4798,Jangan pilih gubernur bgtu1,jangan pilih gubernur bgtu
4799,"Hanya berfikir duit, bukan dosa.",hanya berfikir duit bukan dosa
4800,"Sy dari kutai kertanegara, ya bgitulah keadaan daerah kami, ironis memang, sedih, sangat jauh dr sejahtera, alamnya rusak parah..org susah cari kerja, kerja di tambang ada, tp pelan pelan menghancurkan alam kalimantan... Sedih Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ¢",sy dari kutai kertanegara ya bgitulah keadaan daerah kami ironis memang sedih sangat jauh dr sejahtera alamnya rusak parahorg susah cari kerja kerja di tambang ada tp pelan pelan menghancurkan alam kalimantan sedih
4801,Ternyata mafia semua,ternyata mafia semua
4802,"Ternyata PLTU lebih berbahaya dari rokok. Selamat datang di konspirasi global dimana pemerintah gencar membunuh industri rokok, sedangkan industri batubara dibiarkan menggerogoti rakyat begitu saja.",ternyata pltu lebih berbahaya dari rokok selamat datang di konspirasi global dimana pemerintah gencar membunuh industri rokok sedangkan industri batubara dibiarkan menggerogoti rakyat begitu saja
4803,"Film nya keren.... hanya diakhir cerita saya baru tersadar, film ini disponsori oleh NGO Green Peace...Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­",film nya keren hanya diakhir cerita saya baru tersadar film ini disponsori oleh ngo green peace
4804,"Ternyata orde baru tidak seburuk yang aku kira , orde baru yg mencanangkan transmigrasi dan melindungi para transmigran namun sekarang semua telah dihancurkan oleh para Politisi dan keserakahan para cukong !!!
  
  
  Ya Allah terkutuklaah orang orang yang dholim itu ya Allah , terkutuklah terkutuklah terkutuklah",ternyata orde baru tidak seburuk yang aku kira orde baru yg mencanangkan transmigrasi dan melindungi para transmigran namun sekarang semua telah dihancurkan oleh para politisi dan keserakahan para cukong ya allah terkutuklaah orang orang yang dholim itu ya allah terkutuklah terkutuklah terkutuklah
4805,Ini baru media yg sesungguhnya Ã°Å¸â„¢ÂÃ°Å¸ÂÂ»,ini baru media yg sesungguhnya
4806,ENAK banget ngomong tanggung jwab duniaa akhirat.. ada manusia berhati keji gitu.,enak banget ngomong tanggung jwab duniaa akhirat ada manusia berhati keji gitu
4807,Bisa di lihat mana yg pduli indonesia dan yang tidak,bisa di lihat mana yg pduli indonesia dan yang tidak
4808,"Ini adalah sepenggal kisah saudara kita yg ada di belahan lain negara indonesia .... saya tahu indonesia itu luas dan tidak mudah menjadi kepala negara indonesia .namun saudara ku lihat lah bagaimana elite"" telah memperdaya bumi indonesia bukankah bumi indonesia dan seisinya adalah hak untuk kesejahteraan rakyat indonesia ..... mari kita berfikir sejenak jangan masa bodo hanya karna kita tidak ada di posisi mereka....... .salam sejahtera selalu saudara ku di seluruh indonesia.",ini adalah sepenggal kisah saudara kita yg ada di belahan lain negara indonesia saya tahu indonesia itu luas dan tidak mudah menjadi kepala negara indonesia namun saudara ku lihat lah bagaimana elite telah memperdaya bumi indonesia bukankah bumi indonesia dan seisinya adalah hak untuk kesejahteraan rakyat indonesia mari kita berfikir sejenak jangan masa bodo hanya karna kita tidak ada di posisi mereka salam sejahtera selalu saudara ku di seluruh indonesia
4809,Saluut...dan bangga masih ada yg berani membuat video utk membuktikan ambruknya pemerintahaan indonesia. trimakasih tim watchdoc,saluutdan bangga masih ada yg berani membuat video utk membuktikan ambruknya pemerintahaan indonesia trimakasih tim watchdoc
4810,"kok saya sedih ya nonton film ini ... luar biasa mereka mengeruk hasil bumi ... sementara rakyat kesusahan ..... kapan negri ini punya pemimpin yg mentaati Pancasila dan menjalankan amanat UUD 45 .... setelah batubara hasil bumi apalagi yg mereka keruk emas freefort ? , sawit .... elit rakus .... munafik #01 penghianat yg akan menguasai 5 thn kedepan",kok saya sedih ya nonton film ini luar biasa mereka mengeruk hasil bumi sementara rakyat kesusahan kapan negri ini punya pemimpin yg mentaati pancasila dan menjalankan amanat uud setelah batubara hasil bumi apalagi yg mereka keruk emas freefort sawit elit rakus munafik penghianat yg akan menguasai thn kedepan
4811,semua elite2 politik rata2 memliliki bisnis batubara .,semua elite politik rata memliliki bisnis batubara
4812,"Terima kasih untuk meng apload ini. Saya menangis ketika ending, Semoga Tim yang sudah bekerja keras untuk ini selalu diberikan kesehatan oleh Allah Suhanahuwata'ala, dan saya selalu support juga Greenpeace Indonesia, sukses!",terima kasih untuk meng apload ini saya menangis ketika ending semoga tim yang sudah bekerja keras untuk ini selalu diberikan kesehatan oleh allah suhanahuwataala dan saya selalu support juga greenpeace indonesia sukses
4813,"Mudah2n saja ada anak bangsa yg bnr2 berani mengungkap semua kejahatan terhadap rakyat kecil, kt berdoa aj smoga ad yg bnr2 peduli trhadap nasib seluruh rakyat indonesia..aminnn",mudahn saja ada anak bangsa yg bnr berani mengungkap semua kejahatan terhadap rakyat kecil kt berdoa aj smoga ad yg bnr peduli trhadap nasib seluruh rakyat indonesiaaminnn
4814,"Bedakan film ma knyataan jngan jdi penyimak bodoh awas sistem pecah belÃƒ h,,klau gk ingin negara hancur,,jngn pedulikÃƒ n tntang film brbau profokasi,,lihat knyataan kita hidup damÃƒ i gk ada masalah",bedakan film ma knyataan jngan jdi penyimak bodoh awas sistem pecah bel hklau gk ingin negara hancurjngn pedulik n tntang film brbau profokasilihat knyataan kita hidup dam i gk ada masalah
4815,ini baru konten youtube paling keren yg pernah w liat di youtube.. coba semua youtuber bikin kaya gini jgn cuma pamer kekayaan ..truss ngomongin org.. truss cuma numpang cari untung .. truss cuma numpang tenar..hahah.. keren abis om..,ini baru konten youtube paling keren yg pernah w liat di youtube coba semua youtuber bikin kaya gini jgn cuma pamer kekayaan truss ngomongin org truss cuma numpang cari untung truss cuma numpang tenarhahah keren abis om
4816,aku punya rumah di desa karang tunggal yg dekat banget dengan kartabuana itu. tp karna rumahnya cmn di dtgin seinggu sekali jd gka tau kalau ad tambang gitu. tp di desa akrang tunggal juga srg dgr kalau byk tambang illegal gt kyaknya. pas k rumah kelurga di pendalam sangatta mau masuk daerah rantau pulung sempat ngeliat bntr tambang kpc. gilaaaaa gede bgt :((((,aku punya rumah di desa karang tunggal yg dekat banget dengan kartabuana itu tp karna rumahnya cmn di dtgin seinggu sekali jd gka tau kalau ad tambang gitu tp di desa akrang tunggal juga srg dgr kalau byk tambang illegal gt kyaknya pas k rumah kelurga di pendalam sangatta mau masuk daerah rantau pulung sempat ngeliat bntr tambang kpc gilaaaaa gede bgt
4817,gubernur bajingan banyak makan uang batu baraÃ°Å¸Ëœ,gubernur bajingan banyak makan uang batu bara
4818,Luhut pantesan akrab ama jokowi,luhut pantesan akrab ama jokowi
4819,"Mantap, lanjut terus Masih banyak kebobrokan kebobrokan lainnya..",mantap lanjut terus masih banyak kebobrokan kebobrokan lainnya
4820,"Knp netizen byk yg menyalahkan p Jokowi
  Sedangkan pertambanga batu bara ini sdh ada sejak 20 thn yg lalu
  So intinya bkn salahnya p Jokowi dong",knp netizen byk yg menyalahkan p jokowi sedangkan pertambanga batu bara ini sdh ada sejak thn yg lalu so intinya bkn salahnya p jokowi dong
4821,"The real INDONESIA 
  Nyesek setelah liat ini..
  Air bersih hanya tinggal sejarah..
  #saveindonesianpeople
  Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢",the real indonesia nyesek setelah liat ini air bersih hanya tinggal sejarah saveindonesianpeople
4822,Pantasan rata rata di kalimantan PRABOWOSANDI MENANG,pantasan rata rata di kalimantan prabowosandi menang
4823,tlong hntikn smua itu!!!ksihan mreka yg mati krna ulah yg tdk di stujia oleh wrga stempat!!Ã°Å¸ËœÅ’,tlong hntikn smua ituksihan mreka yg mati krna ulah yg tdk di stujia oleh wrga stempat
4824,"Doakan para pengungkap misteri negri ini jangan sampe video ini di blaklist pemerintah atau semacamnya doakan para jajaran pembuat video ini di beri kesehatan aminnn , stop kapitalisasi negara ini sudah merdeka jangan di sunat oleh penguasa elit apalagi bangsa asing",doakan para pengungkap misteri negri ini jangan sampe video ini di blaklist pemerintah atau semacamnya doakan para jajaran pembuat video ini di beri kesehatan aminnn stop kapitalisasi negara ini sudah merdeka jangan di sunat oleh penguasa elit apalagi bangsa asing
4825,"Sedihnya kita sebagai negara agraris
  Kita impor pangan tapi ekspor tambang!! 
  Sedih sedih sedih",sedihnya kita sebagai negara agraris kita impor pangan tapi ekspor tambang sedih sedih sedih
4826,"Jangan cuma menyalahkan pemerintah. Coba siapa di sini yang gampangin pemakaian listrik. Listrik padam marah2, protes. Maunya nyala terus, boros tapi ga mikir efeknya yang lain.",jangan cuma menyalahkan pemerintah coba siapa di sini yang gampangin pemakaian listrik listrik padam marah protes maunya nyala terus boros tapi ga mikir efeknya yang lain
4827,"Gw harap, siapapun yg diberi amanah memimpin negeri ini kedepan nya bisa membawa negeri ini jadi lebih baik. 
  #saveenergy",gw harap siapapun yg diberi amanah memimpin negeri ini kedepan nya bisa membawa negeri ini jadi lebih baik saveenergy
4828,"Itu gubernur x seolah"" gk punya rasa iba",itu gubernur x seolah gk punya rasa iba
4829,Di sana tempat lahir Beta di buai di besar kan bunda tempat berlindung di hari tua sampai akhir menutup mata,di sana tempat lahir beta di buai di besar kan bunda tempat berlindung di hari tua sampai akhir menutup mata
4830,Wacthdoc image kalianlah sebenarnya penyambung lidah rakyat. Terimakasih dan Terimakasih,wacthdoc image kalianlah sebenarnya penyambung lidah rakyat terimakasih dan terimakasih
4831,"Sampe detik ini, cita2 cuma satu,,,
  Membangun rumah dengan tenaga surya dan menggunakan kendaraan listrik.
  Udah itu aja.",sampe detik ini cita cuma satu membangun rumah dengan tenaga surya dan menggunakan kendaraan listrik udah itu aja
